# Hostinger International Limited,,,,
# Prefixes located at Australia - Sydney,,,,
2a02:4780:63::/48,IN,,Mumbai,
2a02:4780:64::/48,IN,,Mumbai,
2a02:4780:65::/48,IN,,Mumbai,
# Prefixes located at Indonesia - Jakarta,,,,
31.97.0.0/23,ID,,Jakarta,
31.97.48.0/22,ID,,Jakarta,
31.97.66.0/23,ID,,Jakarta,
31.97.104.0/21,ID,,Jakarta,
31.97.187.0/24,ID,,Jakarta,
31.97.220.0/22,ID,,Jakarta,
46.202.136.0/22,ID,,Jakarta,
46.202.184.0/22,ID,,Jakarta,
72.60.72.0/21,ID,,Jakarta,
72.61.140.0/22,ID,,Jakarta,
72.61.208.0/21,ID,,Jakarta,
72.62.120.0/21,ID,,Jakarta,
76.13.16.0/21,ID,,Jakarta,
77.37.78.0/23,ID,,Jakarta,
77.37.80.0/23,ID,,Jakarta,
88.223.88.0/22,ID,,Jakarta,
91.108.116.0/22,ID,,Jakarta,
93.127.219.0/24,ID,,Jakarta,
93.127.220.0/24,ID,,Jakarta,
145.79.8.0/22,ID,,Jakarta,
145.79.12.0/22,ID,,Jakarta,
145.79.18.0/23,ID,,Jakarta,
145.223.108.0/22,ID,,Jakarta,
147.93.80.0/22,ID,,Jakarta,
148.230.96.0/22,ID,,Jakarta,
148.230.100.0/22,ID,,Jakarta,
153.92.8.0/21,ID,,Jakarta,
168.231.118.0/23,ID,,Jakarta,
178.16.132.0/22,ID,,Jakarta,
185.124.136.0/24,ID,,Jakarta,
185.124.137.0/24,ID,,Jakarta,
185.124.138.0/24,ID,,Jakarta,
185.124.139.0/24,ID,,Jakarta,
193.203.172.0/23,ID,,Jakarta,
195.35.54.0/23,ID,,Jakarta,
212.85.24.0/22,ID,,Jakarta,
2a02:4780:6::/48,ID,,Jakarta,
2a02:4780:1b::/48,ID,,Jakarta,
2a02:4780:1c::/48,ID,,Jakarta,
2a02:4780:3a::/48,ID,,Jakarta,
2a02:4780:3b::/48,ID,,Jakarta,
2a02:4780:59::/48,ID,,Jakarta,
2a02:4780:67::/48,ID,,Jakarta,
# Prefixes located at Japan - Tokyo,,,,
147.93.77.0/24,JP,,Tokyo,
213.210.57.0/24,JP,,Tokyo,
2a02:4780:52::/48,JP,,Tokyo,
2a02:4780:53::/48,JP,,Tokyo,
# Prefixes located at Lithuania - Vilnius,,,,
31.97.72.0/22,LT,,Vilnius,
45.84.204.0/22,LT,,Vilnius,
45.88.196.0/22,LT,,Vilnius,
45.93.136.0/22,LT,,Vilnius,
45.128.160.0/22,LT,,Vilnius,
46.17.174.0/23,LT,,Vilnius,
46.202.142.0/23,LT,,Vilnius,
46.202.188.0/22,LT,,Vilnius,
62.72.20.0/22,LT,,Vilnius,
62.72.32.0/23,LT,,Vilnius,
62.72.34.0/23,LT,,Vilnius,
69.62.126.0/23,LT,,Vilnius,
72.60.16.0/22,LT,,Vilnius,
72.61.136.0/22,LT,,Vilnius,
72.62.0.0/22,LT,,Vilnius,
72.62.112.0/21,LT,,Vilnius,
77.37.49.0/24,LT,,Vilnius,
77.37.54.0/23,LT,,Vilnius,
77.37.70.0/23,LT,,Vilnius,
77.37.72.0/23,LT,,Vilnius,
89.116.22.0/23,LT,,Vilnius,
89.116.236.0/24,LT,,Vilnius,
91.108.120.0/22,LT,,Vilnius,
92.112.180.0/22,LT,,Vilnius,
92.242.187.0/24,LT,,Vilnius,
93.127.186.0/24,LT,,Vilnius,
93.127.213.0/24,LT,,Vilnius,
93.127.214.0/24,LT,,Vilnius,
141.136.44.0/24,LT,,Vilnius,
141.136.45.0/24,LT,,Vilnius,
145.223.90.0/23,LT,,Vilnius,
147.93.72.0/22,LT,,Vilnius,
153.92.1.0/24,LT,,Vilnius,
168.231.117.0/24,LT,,Vilnius,
168.231.124.0/22,LT,,Vilnius,
185.170.196.0/23,LT,,Vilnius,
185.170.198.0/23,LT,,Vilnius,
185.210.234.0/24,LT,,Vilnius,
185.229.114.0/23,LT,,Vilnius,
185.230.64.0/24,LT,,Vilnius,
191.101.2.0/24,LT,,Vilnius,
193.160.119.0/24,LT,,Vilnius,
194.5.157.0/24,LT,,Vilnius,
194.31.52.0/24,LT,,Vilnius,
194.31.55.0/24,LT,,Vilnius,
194.59.166.0/23,LT,,Vilnius,
195.35.56.0/22,LT,,Vilnius,
2a02:4780:9::/48,LT,,Vilnius,
2a02:4780:c::/48,LT,,Vilnius,
2a02:4780:19::/48,LT,,Vilnius,
2a02:4780:1a::/48,LT,,Vilnius,
2a02:4780:30::/48,LT,,Vilnius,
2a02:4780:31::/48,LT,,Vilnius,
2a02:4780:69::/48,LT,,Vilnius,
# Prefixes located at Malaysia - Kuala Lumpur,,,,
31.97.70.0/23,MY,,Kuala Lumpur,
31.97.188.0/22,MY,,Kuala Lumpur,
72.60.40.0/22,MY,,Kuala Lumpur,
72.60.104.0/21,MY,,Kuala Lumpur,
